Concentration,Time,Type,Uptake
4 uM,0,Oxidized,0
4 uM,0.02,Oxidized,0
4 uM,0.03,Oxidized,0
4 uM,0.05,Oxidized,21.45
4 uM,0.07,Oxidized,59.49
4 uM,0.08,Oxidized,109.8
4 uM,0.1,Oxidized,169.43
4 uM,0.12,Oxidized,236.35
4 uM,0.13,Oxidized,309.09
4 uM,0.15,Oxidized,386.57
4 uM,0.17,Oxidized,467.97
4 uM,0.18,Oxidized,552.65
4 uM,0.2,Oxidized,640.11
4 uM,0.22,Oxidized,729.95
4 uM,0.23,Oxidized,821.85
,0.25,Oxidized,915.54
,0.27,Oxidized,1010.79
,0.28,Oxidized,1107.43
,0.3,Oxidized,1205.3
,0.32,Oxidized,1304.26
,0.33,Oxidized,1404.2
,0.35,Oxidized,1505.03
,0.37,Oxidized,1606.66
,0.38,Oxidized,1709.02
,0.4,Oxidized,1812.03
,0.42,Oxidized,1915.66
,0.43,Oxidized,2019.84
,0.45,Oxidized,2124.53
,0.47,Oxidized,2229.68
,0.48,Oxidized,2335.28
,0.5,Oxidized,2441.28
,0.52,Oxidized,2547.65
,0.53,Oxidized,2654.38
,0.55,Oxidized,2761.43
,0.57,Oxidized,2868.78
,0.58,Oxidized,2976.42
,0.6,Oxidized,3084.32
,0.62,Oxidized,3192.48
,0.63,Oxidized,3300.87
,0.65,Oxidized,3409.49
,0.67,Oxidized,3518.31
,0.68,Oxidized,3627.34
,0.7,Oxidized,3736.55
,0.72,Oxidized,3845.93
,0.73,Oxidized,3955.49
,0.75,Oxidized,4065.2
,0.77,Oxidized,4175.07
,0.78,Oxidized,4285.08
,0.8,Oxidized,4395.23
,0.82,Oxidized,4505.5
,0.83,Oxidized,4615.9
,0.85,Oxidized,4726.42
,0.87,Oxidized,4837.06
,0.88,Oxidized,4947.8
,0.9,Oxidized,5058.64
,0.92,Oxidized,5169.58
,0.93,Oxidized,5280.61
,0.95,Oxidized,5391.74
,0.97,Oxidized,5502.95
,0.98,Oxidized,5614.24
,1,Oxidized,5725.62
,1.02,Oxidized,5837.07
,1.03,Oxidized,5948.59
,1.05,Oxidized,6060.19
,1.07,Oxidized,6171.86
,1.08,Oxidized,6283.59
,1.1,Oxidized,6395.38
,1.12,Oxidized,6507.24
,1.13,Oxidized,6619.16
,1.15,Oxidized,6731.13
,1.17,Oxidized,6843.16
,1.18,Oxidized,6955.24
,1.2,Oxidized,7067.38
,1.22,Oxidized,7179.56
,1.23,Oxidized,7291.79
,1.25,Oxidized,7404.07
,1.27,Oxidized,7516.4
,1.28,Oxidized,7628.77
,1.3,Oxidized,7741.18
,1.32,Oxidized,7853.63
,1.33,Oxidized,7966.12
,1.35,Oxidized,8078.66
,1.37,Oxidized,8191.23
,1.38,Oxidized,8303.83
,1.4,Oxidized,8416.48
,1.42,Oxidized,8529.15
,1.43,Oxidized,8641.87
,1.45,Oxidized,8754.61
,1.47,Oxidized,8867.39
,1.48,Oxidized,8980.19
,1.5,Oxidized,9093.03
,1.52,Oxidized,9205.9
,1.53,Oxidized,9318.8
,1.55,Oxidized,9431.72
,1.57,Oxidized,9544.68
,1.58,Oxidized,9657.66
,1.6,Oxidized,9770.66
,1.62,Oxidized,9883.7
,1.63,Oxidized,9996.75
,1.65,Oxidized,10109.84
,1.67,Oxidized,10222.94
,1.68,Oxidized,10336.08
,1.7,Oxidized,10449.23
,1.72,Oxidized,10562.41
,1.73,Oxidized,10675.61
,1.75,Oxidized,10788.83
,1.77,Oxidized,10902.07
,1.78,Oxidized,11015.33
,1.8,Oxidized,11128.62
,1.82,Oxidized,11241.92
,1.83,Oxidized,11355.25
,1.85,Oxidized,11468.59
,1.87,Oxidized,11581.95
,1.88,Oxidized,11695.34
,1.9,Oxidized,11808.74
,1.92,Oxidized,11922.16
,1.93,Oxidized,12035.6
,1.95,Oxidized,12149.05
,1.97,Oxidized,12262.52
,1.98,Oxidized,12376.01
,2,Oxidized,12489.52
,2.02,Oxidized,12603.05
,2.03,Oxidized,12716.59
,2.05,Oxidized,12830.15
,2.07,Oxidized,12943.72
,2.08,Oxidized,13057.31
,2.1,Oxidized,13170.91
,2.12,Oxidized,13284.53
,2.13,Oxidized,13398.17
,2.15,Oxidized,13511.82
,2.17,Oxidized,13625.49
,2.18,Oxidized,13739.17
,2.2,Oxidized,13852.87
,2.22,Oxidized,13966.58
,2.23,Oxidized,14080.3
,2.25,Oxidized,14194.04
,2.27,Oxidized,14307.79
,2.28,Oxidized,14421.56
,2.3,Oxidized,14535.34
,2.32,Oxidized,14649.14
,2.33,Oxidized,14762.94
,2.35,Oxidized,14876.77
,2.37,Oxidized,14990.6
,2.38,Oxidized,15104.45
,2.4,Oxidized,15218.31
,2.42,Oxidized,15332.18
,2.43,Oxidized,15446.07
,2.45,Oxidized,15559.97
,2.47,Oxidized,15673.88
,2.48,Oxidized,15787.81
,2.5,Oxidized,15901.75
,2.52,Oxidized,16015.7
,2.53,Oxidized,16129.66
,2.55,Oxidized,16243.63
,2.57,Oxidized,16357.62
,2.58,Oxidized,16471.62
,2.6,Oxidized,16585.63
,2.62,Oxidized,16699.65
,2.63,Oxidized,16813.68
,2.65,Oxidized,16927.73
,2.67,Oxidized,17041.79
,2.68,Oxidized,17155.86
,2.7,Oxidized,17269.94
,2.72,Oxidized,17384.03
,2.73,Oxidized,17498.13
,2.75,Oxidized,17612.25
,2.77,Oxidized,17726.37
,2.78,Oxidized,17840.51
,2.8,Oxidized,17954.66
,2.82,Oxidized,18068.82
,2.83,Oxidized,18182.99
,2.85,Oxidized,18297.17
,2.87,Oxidized,18411.36
,2.88,Oxidized,18525.56
,2.9,Oxidized,18639.78
,2.92,Oxidized,18754
,2.93,Oxidized,18868.24
,2.95,Oxidized,18982.48
,2.97,Oxidized,19096.74
,2.98,Oxidized,19211.01
,3,Oxidized,19325.28
,3.02,Oxidized,19439.57
,3.03,Oxidized,19553.87
,3.05,Oxidized,19668.18
,3.07,Oxidized,19782.5
,3.08,Oxidized,19896.83
,3.1,Oxidized,20011.17
,3.12,Oxidized,20125.52
,3.13,Oxidized,20239.88
,3.15,Oxidized,20354.25
,3.17,Oxidized,20468.63
,3.18,Oxidized,20583.02
,3.2,Oxidized,20697.42
,3.22,Oxidized,20811.83
,3.23,Oxidized,20926.25
,3.25,Oxidized,21040.68
,3.27,Oxidized,21155.12
,3.28,Oxidized,21269.57
,3.3,Oxidized,21384.03
,3.32,Oxidized,21498.5
,3.33,Oxidized,21612.98
,3.35,Oxidized,21727.47
,3.37,Oxidized,21841.97
,3.38,Oxidized,21956.47
,3.4,Oxidized,22070.99
,3.42,Oxidized,22185.52
,3.43,Oxidized,22300.06
,3.45,Oxidized,22414.6
,3.47,Oxidized,22529.16
,3.48,Oxidized,22643.73
,3.5,Oxidized,22758.3
,3.52,Oxidized,22872.88
,3.53,Oxidized,22987.48
,3.55,Oxidized,23102.08
,3.57,Oxidized,23216.69
,3.58,Oxidized,23331.32
,3.6,Oxidized,23445.95
,3.62,Oxidized,23560.59
,3.63,Oxidized,23675.24
,3.65,Oxidized,23789.9
,3.67,Oxidized,23904.56
,3.68,Oxidized,24019.24
,3.7,Oxidized,24133.93
,3.72,Oxidized,24248.62
,3.73,Oxidized,24363.33
,3.75,Oxidized,24478.04
,3.77,Oxidized,24592.76
,3.78,Oxidized,24707.49
,3.8,Oxidized,24822.23
,3.82,Oxidized,24936.98
,3.83,Oxidized,25051.74
,3.85,Oxidized,25166.51
,3.87,Oxidized,25281.29
,3.88,Oxidized,25396.07
,3.9,Oxidized,25510.86
,3.92,Oxidized,25625.67
,3.93,Oxidized,25740.48
,3.95,Oxidized,25855.3
,3.97,Oxidized,25970.13
,3.98,Oxidized,26084.97
,4,Oxidized,26199.81
,4.02,Oxidized,26314.67
,4.03,Oxidized,26429.53
,4.05,Oxidized,26544.4
,4.07,Oxidized,26659.28
,4.08,Oxidized,26774.17
,4.1,Oxidized,26889.07
,4.12,Oxidized,27003.98
,4.13,Oxidized,27118.89
,4.15,Oxidized,27233.82
,4.17,Oxidized,27348.75
,4.18,Oxidized,27463.69
,4.2,Oxidized,27578.64
,4.22,Oxidized,27693.6
,4.23,Oxidized,27808.56
,4.25,Oxidized,27923.53
,4.27,Oxidized,28038.52
,4.28,Oxidized,28153.51
,4.3,Oxidized,28268.51
,4.32,Oxidized,28383.52
,4.33,Oxidized,28498.53
,4.35,Oxidized,28613.55
,4.37,Oxidized,28728.59
,4.38,Oxidized,28843.63
,4.4,Oxidized,28958.68
,4.42,Oxidized,29073.73
,4.43,Oxidized,29188.8
,4.45,Oxidized,29303.87
,4.47,Oxidized,29418.95
,4.48,Oxidized,29534.04
,4.5,Oxidized,29649.14
,4.52,Oxidized,29764.24
,4.53,Oxidized,29879.36
,4.55,Oxidized,29994.48
,4.57,Oxidized,30109.61
,4.58,Oxidized,30224.75
,4.6,Oxidized,30339.89
,4.62,Oxidized,30455.05
,4.63,Oxidized,30570.21
,4.65,Oxidized,30685.38
,4.67,Oxidized,30800.55
,4.68,Oxidized,30915.74
,4.7,Oxidized,31030.93
,4.72,Oxidized,31146.13
,4.73,Oxidized,31261.34
,4.75,Oxidized,31376.56
,4.77,Oxidized,31491.78
,4.78,Oxidized,31607.01
,4.8,Oxidized,31722.25
,4.82,Oxidized,31837.5
,4.83,Oxidized,31952.76
,4.85,Oxidized,32068.02
,4.87,Oxidized,32183.29
,4.88,Oxidized,32298.57
,4.9,Oxidized,32413.85
,4.92,Oxidized,32529.15
,4.93,Oxidized,32644.45
,4.95,Oxidized,32759.76
,4.97,Oxidized,32875.07
,4.98,Oxidized,32990.39
,5,Oxidized,33105.73
,5.02,Oxidized,33221.06
,5.03,Oxidized,33336.41
,5.05,Oxidized,33451.76
,5.07,Oxidized,33567.13
,5.08,Oxidized,33682.49
,5.1,Oxidized,33797.87
,5.12,Oxidized,33913.25
,5.13,Oxidized,34028.64
,5.15,Oxidized,34144.04
,5.17,Oxidized,34259.45
,5.18,Oxidized,34374.86
,5.2,Oxidized,34490.28
,5.22,Oxidized,34605.71
,5.23,Oxidized,34721.14
,5.25,Oxidized,34836.58
,5.27,Oxidized,34952.03
,5.28,Oxidized,35067.49
,5.3,Oxidized,35182.95
,5.32,Oxidized,35298.42
,5.33,Oxidized,35413.9
,5.35,Oxidized,35529.39
,5.37,Oxidized,35644.88
,5.38,Oxidized,35760.38
,5.4,Oxidized,35875.89
,5.42,Oxidized,35991.4
,5.43,Oxidized,36106.92
,5.45,Oxidized,36222.45
,5.47,Oxidized,36337.98
,5.48,Oxidized,36453.52
,5.5,Oxidized,36569.07
,5.52,Oxidized,36684.63
,5.53,Oxidized,36800.19
,5.55,Oxidized,36915.76
,5.57,Oxidized,37031.34
,5.58,Oxidized,37146.92
,5.6,Oxidized,37262.51
,5.62,Oxidized,37378.11
,5.63,Oxidized,37493.71
,5.65,Oxidized,37609.32
,5.67,Oxidized,37724.94
,5.68,Oxidized,37840.57
,5.7,Oxidized,37956.2
,5.72,Oxidized,38071.84
,5.73,Oxidized,38187.48
,5.75,Oxidized,38303.13
,5.77,Oxidized,38418.79
,5.78,Oxidized,38534.46
,5.8,Oxidized,38650.13
,5.82,Oxidized,38765.81
,5.83,Oxidized,38881.5
,5.85,Oxidized,38997.19
,5.87,Oxidized,39112.89
,5.88,Oxidized,39228.59
,5.9,Oxidized,39344.3
,5.92,Oxidized,39460.02
,5.93,Oxidized,39575.75
,5.95,Oxidized,39691.48
,5.97,Oxidized,39807.22
,5.98,Oxidized,39922.96
,6,Oxidized,40038.71
,6.02,Oxidized,40154.47
,6.03,Oxidized,40270.24
,6.05,Oxidized,40386.01
,6.07,Oxidized,40501.79
,6.08,Oxidized,40617.57
,6.1,Oxidized,40733.36
,6.12,Oxidized,40849.16
,6.13,Oxidized,40964.96
,6.15,Oxidized,41080.77
,6.17,Oxidized,41196.58
,6.18,Oxidized,41312.41
,6.2,Oxidized,41428.24
,6.22,Oxidized,41544.07
,6.23,Oxidized,41659.91
,6.25,Oxidized,41775.76
,6.27,Oxidized,41891.61
,6.28,Oxidized,42007.47
,6.3,Oxidized,42123.34
,6.32,Oxidized,42239.21
,6.33,Oxidized,42355.09
,6.35,Oxidized,42470.97
,6.37,Oxidized,42586.87
,6.38,Oxidized,42702.76
,6.4,Oxidized,42818.67
,6.42,Oxidized,42934.58
,6.43,Oxidized,43050.49
,6.45,Oxidized,43166.41
,6.47,Oxidized,43282.34
,6.48,Oxidized,43398.27
,6.5,Oxidized,43514.21
,6.52,Oxidized,43630.16
,6.53,Oxidized,43746.11
,6.55,Oxidized,43862.07
,6.57,Oxidized,43978.03
,6.58,Oxidized,44094
,6.6,Oxidized,44209.98
,6.62,Oxidized,44325.96
,6.63,Oxidized,44441.95
,6.65,Oxidized,44557.94
,6.67,Oxidized,44673.94
,6.68,Oxidized,44789.95
,6.7,Oxidized,44905.96
,6.72,Oxidized,45021.98
,6.73,Oxidized,45138
,6.75,Oxidized,45254.03
,6.77,Oxidized,45370.06
,6.78,Oxidized,45486.11
,6.8,Oxidized,45602.15
,6.82,Oxidized,45718.2
,6.83,Oxidized,45834.26
,6.85,Oxidized,45950.33
,6.87,Oxidized,46066.39
,6.88,Oxidized,46182.47
,6.9,Oxidized,46298.55
,6.92,Oxidized,46414.64
,6.93,Oxidized,46530.73
,6.95,Oxidized,46646.83
,6.97,Oxidized,46762.93
,6.98,Oxidized,46879.04
,7,Oxidized,46995.16
,7.02,Oxidized,47111.28
,7.03,Oxidized,47227.4
,7.05,Oxidized,47343.53
,7.07,Oxidized,47459.67
,7.08,Oxidized,47575.81
,7.1,Oxidized,47691.96
,7.12,Oxidized,47808.11
,7.13,Oxidized,47924.27
,7.15,Oxidized,48040.44
,7.17,Oxidized,48156.61
,7.18,Oxidized,48272.78
,7.2,Oxidized,48388.97
,7.22,Oxidized,48505.15
,7.23,Oxidized,48621.34
,7.25,Oxidized,48737.54
,7.27,Oxidized,48853.74
,7.28,Oxidized,48969.95
,7.3,Oxidized,49086.17
,7.32,Oxidized,49202.39
,7.33,Oxidized,49318.61
,7.35,Oxidized,49434.84
,7.37,Oxidized,49551.07
,7.38,Oxidized,49667.31
,7.4,Oxidized,49783.56
,7.42,Oxidized,49899.81
,7.43,Oxidized,50016.07
,7.45,Oxidized,50132.33
,7.47,Oxidized,50248.59
,7.48,Oxidized,50364.87
,7.5,Oxidized,50481.14
,7.52,Oxidized,50597.42
,7.53,Oxidized,50713.71
,7.55,Oxidized,50830
,7.57,Oxidized,50946.3
,7.58,Oxidized,51062.6
,7.6,Oxidized,51178.91
,7.62,Oxidized,51295.22
,7.63,Oxidized,51411.54
,7.65,Oxidized,51527.87
,7.67,Oxidized,51644.19
,7.68,Oxidized,51760.53
,7.7,Oxidized,51876.86
,7.72,Oxidized,51993.21
,7.73,Oxidized,52109.56
,7.75,Oxidized,52225.91
,7.77,Oxidized,52342.27
,7.78,Oxidized,52458.63
,7.8,Oxidized,52575
,7.82,Oxidized,52691.37
,7.83,Oxidized,52807.75
,7.85,Oxidized,52924.13
,7.87,Oxidized,53040.52
,7.88,Oxidized,53156.91
,7.9,Oxidized,53273.31
,7.92,Oxidized,53389.71
,7.93,Oxidized,53506.12
,7.95,Oxidized,53622.53
,7.97,Oxidized,53738.95
,7.98,Oxidized,53855.37
,8,Oxidized,53971.8
,8.02,Oxidized,54088.23
,8.03,Oxidized,54204.67
,8.05,Oxidized,54321.11
,8.07,Oxidized,54437.55
,8.08,Oxidized,54554
,8.1,Oxidized,54670.46
,8.12,Oxidized,54786.92
,8.13,Oxidized,54903.38
,8.15,Oxidized,55019.85
,8.17,Oxidized,55136.33
,8.18,Oxidized,55252.8
,8.2,Oxidized,55369.29
,8.22,Oxidized,55485.78
,8.23,Oxidized,55602.27
,8.25,Oxidized,55718.77
,8.27,Oxidized,55835.27
,8.28,Oxidized,55951.77
,8.3,Oxidized,56068.28
,8.32,Oxidized,56184.8
,8.33,Oxidized,56301.32
,8.35,Oxidized,56417.84
,8.37,Oxidized,56534.37
,8.38,Oxidized,56650.91
,8.4,Oxidized,56767.44
,8.42,Oxidized,56883.99
,8.43,Oxidized,57000.53
,8.45,Oxidized,57117.09
,8.47,Oxidized,57233.64
,8.48,Oxidized,57350.2
,8.5,Oxidized,57466.77
,8.52,Oxidized,57583.34
,8.53,Oxidized,57699.91
,8.55,Oxidized,57816.49
,8.57,Oxidized,57933.07
,8.58,Oxidized,58049.66
,8.6,Oxidized,58166.25
,8.62,Oxidized,58282.84
,8.63,Oxidized,58399.44
,8.65,Oxidized,58516.05
,8.67,Oxidized,58632.65
,8.68,Oxidized,58749.27
,8.7,Oxidized,58865.88
,8.72,Oxidized,58982.5
,8.73,Oxidized,59099.13
,8.75,Oxidized,59215.76
,8.77,Oxidized,59332.39
,8.78,Oxidized,59449.03
,8.8,Oxidized,59565.67
,8.82,Oxidized,59682.32
,8.83,Oxidized,59798.97
,8.85,Oxidized,59915.63
,8.87,Oxidized,60032.28
,8.88,Oxidized,60148.95
,8.9,Oxidized,60265.61
,8.92,Oxidized,60382.29
,8.93,Oxidized,60498.96
,8.95,Oxidized,60615.64
,8.97,Oxidized,60732.32
,8.98,Oxidized,60849.01
,9,Oxidized,60965.7
,9.02,Oxidized,61082.4
,9.03,Oxidized,61199.1
,9.05,Oxidized,61315.8
,9.07,Oxidized,61432.51
,9.08,Oxidized,61549.22
,9.1,Oxidized,61665.94
,9.12,Oxidized,61782.66
,9.13,Oxidized,61899.38
,9.15,Oxidized,62016.11
,9.17,Oxidized,62132.84
,9.18,Oxidized,62249.58
,9.2,Oxidized,62366.32
,9.22,Oxidized,62483.06
,9.23,Oxidized,62599.81
,9.25,Oxidized,62716.56
,9.27,Oxidized,62833.31
,9.28,Oxidized,62950.07
,9.3,Oxidized,63066.83
,9.32,Oxidized,63183.6
,9.33,Oxidized,63300.37
,9.35,Oxidized,63417.15
,9.37,Oxidized,63533.92
,9.38,Oxidized,63650.71
,9.4,Oxidized,63767.49
,9.42,Oxidized,63884.28
,9.43,Oxidized,64001.07
,9.45,Oxidized,64117.87
,9.47,Oxidized,64234.67
,9.48,Oxidized,64351.48
,9.5,Oxidized,64468.28
,9.52,Oxidized,64585.09
,9.53,Oxidized,64701.91
,9.55,Oxidized,64818.73
,9.57,Oxidized,64935.55
,9.58,Oxidized,65052.38
,9.6,Oxidized,65169.21
,9.62,Oxidized,65286.04
,9.63,Oxidized,65402.88
,9.65,Oxidized,65519.72
,9.67,Oxidized,65636.56
,9.68,Oxidized,65753.41
,9.7,Oxidized,65870.26
,9.72,Oxidized,65987.12
,9.73,Oxidized,66103.98
,9.75,Oxidized,66220.84
,9.77,Oxidized,66337.71
,9.78,Oxidized,66454.58
,9.8,Oxidized,66571.45
,9.82,Oxidized,66688.32
,9.83,Oxidized,66805.2
,9.85,Oxidized,66922.09
,9.87,Oxidized,67038.97
,9.88,Oxidized,67155.86
,9.9,Oxidized,67272.76
,9.92,Oxidized,67389.65
,9.93,Oxidized,67506.56
,9.95,Oxidized,67623.46
,9.97,Oxidized,67740.37
,9.98,Oxidized,67857.28
,10,Oxidized,67974.19
,0,Intracellular,0
,0.02,Intracellular,0
,0.03,Intracellular,133.69
,0.05,Intracellular,267.38
,0.07,Intracellular,379.62
,0.08,Intracellular,475.26
,0.1,Intracellular,558.63
,0.12,Intracellular,632.68
,0.13,Intracellular,699.44
,0.15,Intracellular,760.38
,0.17,Intracellular,816.57
,0.18,Intracellular,868.84
,0.2,Intracellular,917.83
,0.22,Intracellular,964.03
,0.23,Intracellular,1007.85
,0.25,Intracellular,1049.61
,0.27,Intracellular,1089.58
,0.28,Intracellular,1127.98
,0.3,Intracellular,1165
,0.32,Intracellular,1200.78
,0.33,Intracellular,1235.46
,0.35,Intracellular,1269.16
,0.37,Intracellular,1301.98
,0.38,Intracellular,1333.99
,0.4,Intracellular,1365.27
,0.42,Intracellular,1395.88
,0.43,Intracellular,1425.89
,0.45,Intracellular,1455.34
,0.47,Intracellular,1484.28
,0.48,Intracellular,1512.74
,0.5,Intracellular,1540.77
,0.52,Intracellular,1568.38
,0.53,Intracellular,1595.63
,0.55,Intracellular,1622.52
,0.57,Intracellular,1649.08
,0.58,Intracellular,1675.33
,0.6,Intracellular,1701.3
,0.62,Intracellular,1726.99
,0.63,Intracellular,1752.44
,0.65,Intracellular,1777.64
,0.67,Intracellular,1802.62
,0.68,Intracellular,1827.39
